,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,3.0051830229461194,3.3069140516598874,0.6353043774504981,0.7818181818181817,0.5111111111111111
95CI_LOW,2.2334064509838827,2.7441021711182656,0.3587804634027578,0.639108061749571,0.19365079365079363
95CI_HIGH,3.8875455409288406,4.025978847558234,0.9909865438210896,1.2303030303030302,0.9169590643274853
