,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,1.382317124968137,1.5106908948716904,0.9989124269128398,1.0,1.0
95CI_LOW,0.528674463695983,0.7854220035030899,,,
95CI_HIGH,1.9118524952688376,2.1686000350759445,,,
