,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,1.4711370602936071,1.6056223273071994,-0.9320289242884415,-0.5,-0.33333333333333337
95CI_LOW,0.5674489153371862,0.8364194493643708,,,
95CI_HIGH,2.013419035036434,2.2823895690636187,,,
