,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,1.995908786543036,2.0266567676372205,-0.22810799938739917,-0.5,-0.33333333333333337
95CI_LOW,1.49984189099193,1.5613378531802988,,,
95CI_HIGH,2.2750369407618543,2.336532902950223,,,
