,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,2.0348775017384795,2.2983468102368247,-0.24174908083675004,-0.28847859606777493,-0.19171899027990705
95CI_LOW,1.8640097525675667,2.1405975209011103,-0.3794347097627398,-0.4427132684024254,-0.2957239587344823
95CI_HIGH,2.205554136382668,2.4618289994873157,-0.10578895280369627,-0.143449852449134,-0.08897432505462244
