,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,2.1048349847974217,2.5282974859905125,0.3887213613277411,0.19999999999999998,0.0
95CI_LOW,0.6786308610672496,1.3973477952481823,,,
95CI_HIGH,3.5185688455312243,3.891063339111554,,,
