,MAE,RMSE,PEARSONR,SPEARMANRHO,KENDALLTAU
value,1.775742112406814,2.127894319733838,-0.021583812130359474,-0.008952592544857743,-0.0019890663170976804
95CI_LOW,1.4848696493496876,1.8294737877589409,-0.2497726456611582,-0.2597738883427462,-0.17190247203739448
95CI_HIGH,2.057466928952273,2.450766639338525,0.2021986483250774,0.23850186590979053,0.16315053643449232
